word,phishing_count,normal_count,total_count,phishing_ratio,normal_ratio,log_odds_score,final_weight,support
google,686,13,699,0.9814,0.0186,3.9289,3.9289,699
email,602,24,626,0.9617,0.0383,3.2024,3.2024,626
file,458,35,493,0.9290,0.0710,2.5584,2.5584,493
continue,391,17,408,0.9583,0.0417,3.1078,3.1078,408
services,300,96,396,0.7576,0.2424,1.1359,1.1359,396
website,336,46,382,0.8796,0.1204,1.9791,1.9791,382
use,271,59,330,0.8212,0.1788,1.5180,1.5180,330
service,282,47,329,0.8571,0.1429,1.7829,1.7829,329
cookies,294,25,319,0.9216,0.0784,2.4466,2.4466,319
open,283,29,312,0.9071,0.0929,2.2628,2.2628,312
sign,291,13,304,0.9572,0.0428,3.0724,3.0724,304
express,293,2,295,0.9932,0.0068,4.7656,4.7656,295
page,238,45,283,0.8410,0.1590,1.6567,1.6567,283
chain,280,2,282,0.9929,0.0071,4.7203,4.7203,282
bank,244,30,274,0.8905,0.1095,2.0815,2.0815,274
yes,266,7,273,0.9744,0.0256,3.5705,3.5705,273
maps,266,2,268,0.9925,0.0075,4.6691,4.6691,268
delivery,213,24,237,0.8987,0.1013,2.1650,2.1650,237
link,198,27,225,0.8800,0.1200,1.9766,1.9766,225
please,191,27,218,0.8761,0.1239,1.9407,1.9407,218
password,214,3,217,0.9862,0.0138,4.1155,4.1155,217
browser,202,9,211,0.9573,0.0427,3.0594,3.0594,211
create,163,46,209,0.7799,0.2201,1.2574,1.2574,209
home,161,42,203,0.7931,0.2069,1.3350,1.3350,203
required,180,17,197,0.9137,0.0863,2.3335,2.3335,197
want,156,35,191,0.8168,0.1832,1.4835,1.4835,191
enter,181,9,190,0.9526,0.0474,2.9500,2.9500,190
login,179,11,190,0.9421,0.0579,2.7478,2.7478,190
site,137,44,181,0.7569,0.2431,1.1281,1.1281,181
security,158,21,179,0.8827,0.1173,1.9977,1.9977,179
field,169,8,177,0.9548,0.0452,2.9928,2.9928,177
